date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000002342,42511.1,40542.93,48969.48,2120.098915466508,85.0222,0,,0,,0,,0,,1,4.0,0,
1970-01-01 00:00:00.000002343,43137.95,40542.93,48969.48,2077.8068500760432,86.2759,0,,0,,1,3.0,0,,1,3.0,0,
1970-01-01 00:00:00.000002344,42776.1,40542.93,48969.48,2000.62850364204,85.5522,0,,0,,1,2.0,0,,1,2.0,0,
1970-01-01 00:00:00.000002345,41327.5,40750.0,48969.48,2018.2064676676086,82.655,1,1.0,0,,1,1.0,0,,1,1.0,0,
1970-01-01 00:00:00.000002346,41659.03,40683.28,48969.48,2010.9674342627795,83.31806,0,,0,,1,3.0,0,,1,3.0,0,
1970-01-01 00:00:00.000002347,41696.04,40280.0,48969.48,1897.0597603868664,83.39208,0,,0,,1,2.0,0,,1,2.0,0,
1970-01-01 00:00:00.000002348,41580.33,40280.0,48969.48,1788.727634644947,83.16066000000001,1,1.0,0,,1,1.0,0,,1,1.0,0,
1970-01-01 00:00:00.000002349,39568.02,40280.0,48969.48,1822.2520893131652,79.13604,0,,0,,1,2.0,0,,1,2.0,0,
1970-01-01 00:00:00.000002350,39897.6,39431.58,48969.48,1807.9297972193676,79.7952,1,1.0,0,,1,1.0,0,,1,1.0,0,
1970-01-01 00:00:00.000002351,40084.88,38555.0,48969.48,1755.27838313227,80.16976,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002352,39961.09,38555.0,48969.48,1683.4899271942506,79.92218,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002353,41823.51,38555.0,48969.48,1736.4049323946615,83.64702000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002354,42120.63,38555.0,48969.48,1669.9231515093288,84.24126,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002355,42031.06,38555.0,48969.48,1637.9193549729484,84.06212,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002356,43302.7,38555.0,48969.48,1630.0765439034524,86.6054,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002357,42941.1,38555.0,48969.48,1599.2403621960632,85.8822,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002358,42580.0,38555.0,48969.48,1589.8853363249161,85.16,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002359,43082.94,38555.0,48969.48,1576.3828123017079,86.16588,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002360,43200.0,38555.0,48969.48,1531.0133257087286,86.4,0,,0,,0,,0,,0,,0,
